Latitude;Longitude;Altitude;Geometry;Grund der Fällung;Baum_ID;Gattung;Art;Sorte;Deutsch;Straße;Hausnummer;Pflegebezirk;Politischer Bezirk;Stammumfang;X_Koord;Y_Koord
51.26851353;6.79787822;0;point;Komplexerkrankung;107801;Aesculus;hippocastanum;;Ross-Kastanie;Kürtenstraße;55;3104;6;98;32346379.77;5681988.73
51.26835126;6.79793889;0;point;Komplexerkrankung;107802;Aesculus;hippocastanum;;Ross-Kastanie;Kürtenstraße;47;3104;6;101;32346383.46;5681970.56
51.26812342;6.79803293;0;point;Sturmschaden;107803;Aesculus;hippocastanum;;Ross-Kastanie;Kürtenstraße;41;3104;6;55;32346389.26;5681945.03
51.26772515;6.79818401;0;point;Komplexerkrankung;107805;Aesculus;hippocastanum;;Ross-Kastanie;Kürtenstraße;23;3104;6;99;32346398.47;5681900.43
51.27022149;6.79720945;0;point;Komplexerkrankung;107856;Aesculus;hippocastanum;;Ross-Kastanie;Dorstener Straße;;3104;6;121;32346338.82;5682180.04
51.27015359;6.79684138;0;point;Komplexerkrankung;107862;Aesculus;hippocastanum;;Ross-Kastanie;Dorstener Straße;;3104;6;157;32346312.92;5682173.26
51.26964847;6.79742668;0;point;Komplexerkrankung;107892;Aesculus;hippocastanum;;Ross-Kastanie;Dorstener Straße;;3104;6;149;32346352.06;5682115.87
51.26867829;6.79781157;0;point;Komplexerkrankung;107956;Aesculus;hippocastanum;;Ross-Kastanie;Kürtenstraße;63;3104;6;60;32346375.67;5682007.19
51.27498008;6.7867145;0;point;Pilzbefall am Wurzelhals (Schillerporling);108230;Sorbus;aria;;Eberesche;Unterrather Straße;ggü 38;3104;6;124;32345622.75;5682731.17
51.26596869;6.7768106;0;point;;108385;Tilia;intermedia;;Linde;Wilseder Weg;;;;;32344901.68;5681750.06
51.26277964;6.77744846;0;point;Pilzbefall (Lackporling) ;108392;Robinia;pseudoacaccia;;Scheinakazie;An der Piwipp;103;3104;6;116;32344935.44;5681394.12
51.27125003;6.77544119;0;point;;108490;Sorbus;aria;;Mehlbeere;Auf den Geisten;18;;;;32344823.95;5682340.19
51.24488068;6.81000173;0;point;Sturmschaden;109776;Robinia;pseudoacaccia;;Scheinakazie;Grunerstraße;100;3104;2;243;32347147.04;5679335.67
51.24059894;6.78674987;0;point;abgestorben;110151;Acer;pseudoplatanus;;Bergahorn;Eulerstraße;51;3104;1;274;32345509.98;5678908.23
51.24749221;6.7862254;0;point;;110167;Robinia;pseudoacaccia;;Scheinakazie;Geistenstraße;10;;;;32345496.48;5679675.8
51.24737002;6.7866881;0;point;;110168;Robinia;pseudoacaccia;;Scheinakazie;Geistenstraße;14;;;;32345528.36;5679661.24
51.24353033;6.77254356;0;point;Sturmschaden;111447;Aesculus;hippocastanum;;Ross-Kastanie;Kennedydamm;3;3104;1;151;32344528.34;5679264.15
51.23069614;6.79334079;0;point;;111473;Acer;platanoides;;Spitzahorn;Adlerstraße;;;;;32345936.91;5677793.29
51.24980602;6.77478678;0;point;;112098;Sorbus;aria;;Eberesche;Schwannstraße;;;;;32344706.04;5679957.2
51.23492671;6.8636575;0;point;Morschungen am Stammfuß;114290;Robinia;pseudoacaccia;;Scheinakazie;Am Pesch;29;3106;7;155;32350859.42;5678118.57
51.2347943;6.86341006;0;point;;114294;Robinia;pseudoacaccia;;Scheinakazie;Am Pesch;29;3106;7;;32350841.72;5678104.35
51.2352282;6.86388091;0;point;;114415;Robinia;pseudoacaccia;;Scheinakazie;Steinweg;15;;;;32350875.99;5678151.64
51.23521455;6.86377381;0;point;;114425;Robinia;pseudoacaccia;;Scheinakazie;Steinweg;12;;;;32350868.47;5678150.34
51.23482793;6.8572576;0;point;;114515;Robinia;pseudoacaccia;;Scheinakazie;Schönaustraße;40;;;;32350412.36;5678120.6
51.24198897;6.85103365;0;point;Morschungen im Kronenansatz;115126;Malus;domestica;;Apfel;Heinrich-Könn-Straße;35;3106;7;167;32350001.2;5678929.54
51.23796196;6.85346923;0;point;Pilzbefall (Lackporling) ;115211;Sorbus;aria;;Eberesche;Gräfrather Straße;5;3106;7;152;32350158.1;5678476.8
51.23451529;6.86145393;0;point;;115435;Robinia;pseudoacaccia;;Scheinakazie;Heyestraße;1;;;;32350704.27;5678077.3
51.23481669;6.85898251;0;point;Sturmschaden;115447;Acer;pseudoplatanus;;Bergahorn;Märkische Straße;54;3106;7;123;32350532.73;5678115.84
51.23124212;6.8439861;0;point;;116880;Gleditsia;triacanthos;;Lederhülsenbaum;Diepenstraße;;;;;32349474.25;5677749
51.23827185;6.83361338;0;point;Morschungen. Krone ausgebrochen;117024;Aesculus;hippocastanum;;Ross-Kastanie;Hardtstraße;79;3106;7;211;32348773.19;5678551.95
51.23581752;6.85065069;0;point;Pilzbefall (Lackporling) ;117378;Robinia;pseudoacaccia;;Scheinakazie;Akazienallee;3;3106;7;277;32349954.39;5678244.11
51.2395792;6.83103378;0;point;Sturmschaden;117604;Aesculus;hippocastanum;;Ross-Kastanie;Hardtstraße;66;3106;7;198;32348597.43;5678702.63
51.23968498;6.83086017;0;point;Morschungen. Krone ausgebrochen;117606;Aesculus;hippocastanum;;Ross-Kastanie;Hardtstraße;64;3106;7;233;32348585.66;5678714.75
51.24262645;6.82882599;0;point;Morschungen im Stammbereich;117796;Quercus;rubra;;Roteiche;Staufenplatz;;3106;7;312;32348453.35;5679046.01
51.24075978;6.82928284;0;point;Sturmschaden;117807;Aesculus;hippocastanum;;Ross-Kastanie;Hardtstraße;16;3106;7;168;32348479.1;5678837.51
51.23672906;6.83031057;0;point;Pilzbefall (Lackporling) ;118086;Aesculus;hippocastanum;;Kastanie;Altenbergstraße ;;3106;2;389;32348537.59;5678387.21
51.24557821;6.81911606;0;point;Riss im Zwiesel;118685;Acer;Saccharinum;;Silber-Ahorn;Graf-Recke-Straße;93;3104;2;132;32347785.42;5679394.3
51.23703362;6.82967275;0;point;Pilzbefall (Lackporling) ;118812;Aesculus;hippocastanum;;Kastanie;Altenbergstraße ;;3106;2;301;32348494.07;5678422.39
51.2331833;6.82268788;0;point;Pilzbefall (Zunderschwamm);119414;Acer;pseudoplatanus;;Bergahorn;Neumannstraße;;3106;2;245;32347993.83;5678008.7
51.24082436;6.82607685;0;point;Morschungen am Stammfuß;119722;Tilia;pallida;;Linde;Grafenberger Allee;397;3106;7;272;32348255.55;5678851.31
51.23939062;6.82347973;0;point;Morschungen am Stammfuß;119785;Tilia;pallida;;Linde;Grafenberger Allee;358;3106;7;227;32348069.56;5678697.26
51.22993626;6.82306865;0;point;Morschungen im Stammbereich;120227;Aesculus;hippocastanum;;Ross-Kastanie;Hellweg;27;3106;2;230;32348009.71;5677646.87
51.23154187;6.82092822;0;point;abgestorben;120417;Phellodendron;Sachalinense;;Korkbaum;Schlüterstraße;Park;3106;2;166;32347865.58;5677829.83
51.25151791;6.82829917;0;point;Pilzbefall (Lackporling) ;120942;Fagus;sylvatica;;Rotbuche;Rolander Weg;26;3106;7;312;32348445.82;5680035.75
51.23195992;6.81437786;0;point;;121220;Tilia;pallida;;Linde;Lindenstraße;240;;;;32347409.69;5677889.9
51.23192779;6.81455014;0;point;;121226;Tilia;pallida;;Linde;Lindenstraße;245;;;;32347421.61;5677885.97
51.23420035;6.81393774;0;point;Riss im Zwiesel;121241;Ginkgo;biloba;;Fächerblattbaum;Karl-Müller-Straße;Schul;3106;2;242;32347386.38;5678139.93
51.22983486;6.81340741;0;point;Pilzbefall (Hallimasch);121265;Robinia;pseudoacaccia;;Scheinakazie;Hoffeldstraße;39;3106;2;178;32347334.91;5677655.63
51.23538874;6.81065646;0;point;Pilzbefall (Zunderschwamm);121664;Tilia;pallida;;Linde;Hans-Sachs-Straße;39;3106;2;220;32347161.27;5678278.89
